Date, MeanAvgTemperature, HighestAvgTemperature, LowestAvgTemperature, TotalPrecipitation, NumberofDaysPrecipitation>=0.1, TotalSnowfall, NumberofDaysSnowfall>=1
2006-01, 42.3, 57.0, 27.5, 5.32, 9, 0.0, 0
2006-02, 39.4, 58.0, 25.0, 1.37, 3, 9.0, 1
2006-03, 49.4, 70.0, 35.0, 2.60, 4, 0.0, 0
2006-04, 59.7, 72.5, 43.0, 4.25, 7, 0.0, 0
2006-05, 67.7, 85.0, 59.0, 2.19, 6, 0.0, 0
2006-06, 75.6, 85.5, 64.5, 17.58, 14, 0.0, 0
2006-07, 83.4, 92.5, 73.0, 5.29, 10, 0.0, 0
2006-08, 78.5, 91.5, 67.0, 7.64, 6, 0.0, 0
2006-09, 68.2, 76.5, 60.0, 6.06, 8, 0.0, 0
2006-10, 57.5, 74.5, 43.0, 5.75, 6, 0.0, 0
2006-11, 50.6, 62.0, 37.5, 4.85, 7, 0.0, 0
2006-12, 43.8, 57.0, 27.5, 2.58, 5, 0.0, 0
2007-01, 38.8, 63.0, 17.0, 4.17, 7, 1.8, 0
2007-02, 28.0, 45.0, 12.0, 1.74, 4, 4.8, 2
2007-03, 44.2, 66.5, 20.0, 2.95, 4, 1.4, 1
2007-04, 51.2, 70.5, 35.0, 10.04, 10, 0.0, 0
2007-05, 66.5, 79.0, 54.5, 4.08, 6, 0.0, 0
2007-06, 73.8, 82.0, 59.5, 4.04, 6, 0.0, 0
2007-07, 77.3, 87.0, 66.5, 2.54, 8, 0.0, 0
2007-08, 76.7, 86.5, 60.5, 4.00, 6, 0.0, 0
2007-09, 72.1, 79.5, 59.5, 1.93, 6, 0.0, 0
2007-10, 64.3, 77.5, 47.0, 5.46, 9, 0.0, 0
2007-11, 45.8, 58.5, 34.5, 1.93, 8, 0.0, 0
2007-12, 37.6, 47.5, 26.0, 4.96, 9, 1.3, 1
2008-01, 35.6, 57.0, 21.5, 2.14, 6, 0.0, 0
2008-02, 37.2, 59.0, 16.5, 6.24, 8, 0.1, 0
2008-03, 45.6, 60.5, 36.0, 4.39, 6, 0.0, 0
2008-04, 57.9, 73.0, 45.5, 2.56, 7, 0.0, 0
2008-05, 63.4, 76.5, 51.5, 4.76, 10, 0.0, 0
2008-06, 78.2, 90.5, 67.0, 3.43, 6, 0.0, 0
2008-07, 81.0, 87.0, 75.5, 6.00, 8, 0.0, 0
2008-08, 76.3, 82.5, 68.5, 1.69, 2, 0.0, 0
2008-09, 71.7, 85.0, 61.5, 4.97, 9, 0.0, 0
2008-10, 56.3, 72.0, 40.5, 3.21, 5, 0.0, 0
2008-11, 45.8, 62.0, 28.5, 4.21, 8, T, 0
2008-12, 39.2, 57.0, 21.5, 4.83, 6, 0.1, 0
2009-01, 28.6, 42.0, 12.0, 2.95, 5, 1.0, 1
2009-02, 38.0, 60.0, 19.0, 0.98, 2, 5.5, 1
2009-03, 44.7, 64.5, 19.0, 1.38, 5, 3.6, 1
2009-04, 56.9, 82.5, 42.0, 4.34, 12, 0.0, 0
2009-05, 65.2, 78.0, 53.0, 4.86, 9, 0.0, 0
2009-06, 71.9, 80.0, 59.5, 5.46, 12, 0.0, 0
2009-07, 76.4, 83.5, 69.0, 4.71, 7, 0.0, 0
2009-08, 78.3, 85.5, 66.0, 9.38, 11, 0.0, 0
2009-09, 68.1, 77.5, 56.0, 3.61, 5, 0.0, 0
2009-10, 57.0, 70.5, 42.0, 6.21, 9, 0.0, 0
2009-11, 52.2, 63.5, 42.0, 2.66, 8, 0.0, 0
2009-12, 37.7, 56.0, 23.5, 8.25, 9, 13.4, 2
2010-01, 34.3, 50.0, 17.5, 2.97, 4, 1.5, 1
2010-02, 32.9, 40.0, 22.0, 2.22, 6, 7.0, 2
2010-03, 49.8, 67.0, 38.0, 7.55, 9, 0.0, 0
2010-04, 59.9, 80.0, 48.5, 3.85, 5, 0.0, 0
2010-05, 68.2, 85.5, 49.5, 2.61, 5, 0.0, 0
2010-06, 79.2, 89.0, 65.0, 2.15, 4, 0.0, 0
2010-07, 82.5, 93.5, 70.5, 8.33, 9, 0.0, 0
2010-08, 79.2, 87.0, 68.5, 1.08, 3, 0.0, 0
2010-09, 73.5, 88.5, 63.5, 2.37, 5, 0.0, 0
2010-10, 59.9, 71.5, 49.5, 6.83, 9, 0.0, 0
2010-11, 48.4, 57.0, 38.0, 2.19, 4, T, 0
2010-12, 33.9, 58.0, 23.0, 3.21, 5, 7.7, 1
2011-01, 30.8, 48.0, 17.5, 4.00, 9, 23.0, 6
2011-02, 37.7, 57.5, 24.5, 2.65, 6, 4.0, 1
2011-03, 44.5, 63.0, 31.0, 4.57, 7, 0.0, 0
2011-04, 57.3, 78.0, 39.0, 5.65, 8, T, 0
2011-05, 68.4, 85.5, 51.0, 2.57, 10, 0.0, 0
2011-06, 76.5, 89.0, 67.5, 2.43, 6, 0.0, 0
2011-07, 83.4, 95.0, 77.0, 3.26, 4, 0.0, 0
2011-08, 77.1, 84.5, 68.0, 16.70, 13, 0.0, 0
2011-09, 71.6, 78.5, 58.0, 12.00, 9, 0.0, 0
2011-10, 58.2, 72.5, 38.0, 3.81, 9, 0.4, 0
2011-11, 52.2, 64.0, 40.5, 4.39, 8, 0.0, 0
2011-12, 44.1, 60.0, 31.0, 5.00, 4, 0.0, 0
2012-01, 37.8, 52.0, 23.5, 2.98, 7, 1.6, 1
2012-02, 41.6, 55.0, 26.0, 1.86, 6, 0.4, 0
2012-03, 51.9, 67.0, 36.5, 2.07, 5, 0.0, 0
2012-04, 56.2, 79.5, 43.5, 2.58, 2, 0.0, 0
2012-05, 68.5, 85.0, 53.0, 3.84, 12, 0.0, 0
2012-06, 74.2, 90.5, 60.0, 4.09, 6, 0.0, 0
2012-07, 82.0, 90.5, 68.5, 2.81, 6, 0.0, 0
2012-08, 78.9, 86.5, 70.5, 4.73, 7, 0.0, 0
2012-09, 71.1, 82.5, 60.5, 6.07, 8, 0.0, 0
2012-10, 59.9, 73.5, 46.0, 1.42, 5, 0.0, 0
2012-11, 44.5, 61.5, 36.5, 1.10, 4, 0.0, 0
2012-12, 43.3, 60.5, 33.5, 4.85, 7, 0.4, 0
2013-01, 36.8, 56.0, 18.0, 3.47, 5, 2.9, 1
2013-02, 35.7, 48.0, 24.0, 2.06, 6, 1.0, 0
2013-03, 41.4, 53.0, 34.0, 3.40, 7, 0.7, 0
2013-04, 55.7, 76.5, 40.0, 2.66, 7, 0.0, 0
2013-05, 65.4, 83.5, 50.0, 2.78, 8, 0.0, 0
2013-06, 75.9, 84.0, 66.5, 10.44, 12, 0.0, 0
2013-07, 81.5, 90.5, 69.5, 7.11, 7, 0.0, 0
2013-08, 75.4, 83.5, 68.0, 4.63, 6, 0.0, 0
2013-09, 69.1, 84.0, 58.0, 2.23, 3, 0.0, 0
2013-10, 61.6, 78.5, 46.0, 2.54, 4, 0.0, 0
2013-11, 46.1, 64.5, 27.0, 2.91, 3, T, 0
2013-12, 39.1, 64.0, 27.0, 5.05, 10, 7.4, 3
2014-01, 29.3, 52.0, 8.0, 2.94, 8, 23.0, 3
2014-02, 33.5, 50.5, 20.0, 5.40, 9, 16.8, 4
2014-03, 38.0, 57.0, 20.5, 4.38, 7, 2.3, 1
2014-04, 55.3, 73.5, 41.0, 3.88, 4, 0.0, 0
2014-05, 66.0, 79.5, 56.0, 5.87, 9, 0.0, 0
2014-06, 75.4, 87.5, 64.0, 3.90, 8, 0.0, 0
2014-07, 78.5, 86.0, 69.0, 5.78, 8, 0.0, 0
2014-08, 75.4, 81.0, 68.5, 2.38, 5, 0.0, 0
2014-09, 71.2, 83.5, 60.5, 2.43, 6, 0.0, 0
2014-10, 61.1, 75.0, 49.0, 3.57, 6, 0.0, 0
2014-11, 44.2, 62.5, 27.0, 5.04, 11, 0.0, 0
2014-12, 41.3, 56.0, 31.5, 3.25, 7, 0.0, 0
2015-01, 30.2, 47.0, 17.0, 3.12, 6, 2.5, 2
2015-02, 23.7, 38.5, 9.0, 2.58, 5, 8.5, 3
2015-03, 39.5, 54.0, 20.5, 6.00, 9, 7.2, 3
2015-04, 54.9, 67.5, 41.0, 4.20, 6, 0.0, 0
2015-05, 70.7, 79.5, 56.0, 0.44, 2, 0.0, 0
2015-06, 74.7, 85.5, 54.5, 8.12, 13, 0.0, 0
2015-07, 79.7, 89.0, 71.0, 4.44, 6, 0.0, 0
2015-08, 79.5, 85.5, 72.0, 1.58, 3, 0.0, 0
2015-09, 74.8, 85.0, 64.0, 5.01, 3, 0.0, 0
2015-10, 58.3, 69.0, 43.0, 4.07, 4, 0.0, 0
2015-11, 53.3, 69.5, 37.5, 2.76, 5, 0.0, 0
2015-12, 50.9, 67.0, 36.5, 5.78, 10, 0.0, 0
2016-01, 34.0, 48.0, 21.0, 1.18, 2, 0.1, 0
2016-02, 38.1, 54.5, 14.5, 4.74, 7, 0.5, 0
2016-03, 50.6, 70.5, 34.0, 1.96, 4, 0.8, 0
2016-04, 54.2, 71.5, 36.5, 1.80, 9, T, 0
2016-05, 62.9, 81.5, 49.0, 7.23, 11, 0.0, 0
2016-06, 75.5, 82.0, 63.5, 2.36, 5, 0.0, 0
2016-07, 81.6, 87.0, 74.5, 6.80, 7, 0.0, 0
2016-08, 81.6, 90.5, 72.0, 1.61, 3, 0.0, 0
2016-09, 73.5, 88.0, 61.5, 2.10, 4, 0.0, 0
2016-10, 60.5, 77.5, 45.5, 2.19, 4, 0.0, 0
2016-11, 50.8, 64.5, 40.5, 0.64, 2, 0.0, 0
2016-12, 40.3, 57.5, 23.0, 5.88, 8, 0.7, 0
2017-01, 39.1, 56.5, 20.0, 2.77, 5, 2.1, 1
2017-02, 44.0, 65.5, 27.5, 1.37, 3, 1.6, 1
2017-03, 41.7, 63.5, 25.5, 3.27, 5, 4.0, 1
2017-04, 60.3, 78.0, 44.5, 4.81, 7, 0.0, 0
2017-05, 63.1, 84.0, 49.5, 7.56, 10, 0.0, 0
2017-06, 75.1, 87.5, 59.5, 3.16, 6, 0.0, 0
2017-07, 80.1, 88.0, 71.5, 5.31, 10, 0.0, 0
2017-08, 76.5, 83.0, 64.5, 5.21, 8, 0.0, 0
2017-09, 72.6, 81.0, 61.5, 1.72, 5, 0.0, 0
2017-10, 65.1, 77.0, 52.5, 5.31, 7, 0.0, 0
2017-11, 48.6, 68.5, 32.0, 2.26, 6, T, 0
2017-12, 37.3, 52.0, 18.5, 1.10, 4, 8.1, 3
2018-01, 33.4, 55.5, 12.0, 2.87, 9, 4.7, 2
2018-02, 41.0, 63.5, 24.5, 7.08, 10, 0.2, 0
2018-03, 42.2, 62.5, 35.5, 5.36, 5, 12.7, 3
2018-04, 52.0, 74.0, 39.5, 4.88, 6, T, 0
2018-05, 69.8, 82.0, 55.0, 5.45, 8, 0.0, 0
2018-06, 74.6, 84.5, 59.0, 6.31, 8, 0.0, 0
2018-07, 81.1, 90.5, 71.0, 4.29, 7, 0.0, 0
2018-08, 81.5, 88.5, 73.0, 4.88, 10, 0.0, 0
2018-09, 74.0, 87.5, 58.0, 12.55, 12, 0.0, 0
2018-10, 60.7, 79.0, 45.5, 4.57, 6, 0.0, 0
2018-11, 46.1, 67.5, 28.0, 9.74, 9, 0.0, 0
2018-12, 41.0, 54.5, 31.5, 4.76, 6, 0.0, 0
2019-01, 35.0, 48.5, 14.5, 5.58, 7, 3.0, 2
2019-02, 36.4, 55.5, 13.0, 3.59, 8, 4.9, 4
2019-03, 43.6, 67.5, 24.5, 4.70, 7, 3.6, 1
2019-04, 59.9, 72.5, 43.0, 4.33, 9, 0.0, 0
2019-05, 67.7, 80.5, 49.0, 6.72, 8, 0.0, 0
2019-06, 75.5, 85.5, 64.5, 5.84, 9, 0.0, 0
2019-07, 82.5, 89.0, 71.0, 5.08, 5, 0.0, 0
2019-08, 79.1, 86.0, 67.0, 6.31, 8, 0.0, 0
2019-09, 74.6, 82.5, 64.5, 1.64, 5, 0.0, 0
2019-10, 61.5, 78.5, 52.0, 3.09, 4, 0.0, 0
2019-11, 46.0, 60.0, 33.0, 1.84, 4, 0.0, 0
2019-12, 39.5, 49.0, 26.0, 5.25, 6, 0.0, 0
2020-01, 40.9, 62.0, 27.0, 2.47, 6, 0.0, 0
2020-02, 41.7, 52.5, 24.0, 2.81, 8, 0.0, 0
2020-03, 48.7, 62.0, 31.0, 1.14, 4, 0.0, 0
2020-04, M, M, M, M, M, M, M
2020-05, M, M, M, M, M, M, M
2020-06, M, M, M, M, M, M, M
2020-07, 83.8, 90.5, 78.0, 5.77, 6, 0.0, 0
2020-08, 79.7, 86.0, 69.0, 9.16, 3, 0.0, 0
2020-09, 70.7, 81.0, 57.0, 4.68, 4, 0.0, 0
2020-10, 60.5, 71.0, 42.0, 5.12, 5, 0.0, 0
2020-11, 53.2, 66.5, 36.5, 3.29, 1, 0.0, 0
2020-12, 40.4, 56.5, 28.0, 4.42, 0, 0.0, 0
2021-01, 37.0, 48.0, 23.5, 1.29, 2, 0.0, 0
2021-02, 34.2, 50.0, 26.5, 4.61, 2, 7.6, 4
2021-03, 48.1, 67.5, 32.0, 4.44, 6, 0.0, 0
2021-04, 56.8, 79.5, 38.5, 3.21, 7, 0.0, 0
2021-05, 65.7, 84.0, 49.0, 3.71, 5, 0.0, 0
2021-06, 76.3, 86.5, 62.5, 4.44, 6, 0.0, 0
2021-07, 80.5, 87.5, 72.0, 6.95, 2, 0.0, 0
2021-08, 80.3, 88.5, 70.5, 5.78, 3, 0.0, 0
2021-09, 73.1, 81.5, 63.5, 5.90, 5, 0.0, 0
2021-10, 65.7, 77.0, 55.0, 4.14, 1, 0.0, 0
2021-11, 48.3, 62.0, 37.5, 0.41, 2, 0.0, 0
2021-12, 45.4, 57.0, 33.0, 1.89, 7, 0.0, 0
